25-11-05 10:19:44 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/categories
25-11-05 10:19:45 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/categories
25-11-05 10:19:45 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/products
25-11-05 10:19:45 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/products
25-11-05 10:19:45 |   INFO   |        HTTP_CLIENT        | Make PUT request to https://api.escuelajs.co/api/v1/products/177
25-11-05 10:19:46 |   INFO   |        HTTP_CLIENT        | Got response 200 OK from https://api.escuelajs.co/api/v1/products/177
25-11-05 10:19:46 |   INFO   |      BASE_ASSERTIONS      | Check that response status code equals to 200
25-11-05 10:19:46 |   INFO   |    PRODUCTS_ASSERTIONS    | Check update product response
25-11-05 10:19:46 |   INFO   |      BASE_ASSERTIONS      | Check that "title" equals to Fish international resource
25-11-05 10:19:46 |   INFO   |      BASE_ASSERTIONS      | Check that "price" equals to 2575.48
25-11-05 10:19:46 |   INFO   |      BASE_ASSERTIONS      | Check that "description" equals to Hear store deep.
25-11-05 10:19:46 |   INFO   |      BASE_ASSERTIONS      | Check that "category id" equals to 177
