25-11-05 10:27:33 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/categories
25-11-05 10:27:33 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/categories
25-11-05 10:27:33 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/products
25-11-05 10:27:33 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/products
25-11-05 10:27:33 |   INFO   |      BASE_ASSERTIONS      | Check that response status code equals to 201
25-11-05 10:27:33 |   INFO   |    PRODUCTS_ASSERTIONS    | Check create product response
25-11-05 10:27:33 |   INFO   |      BASE_ASSERTIONS      | Check that "title" equals to Change read task
25-11-05 10:27:33 |   INFO   |      BASE_ASSERTIONS      | Check that "price" equals to 6163.14
25-11-05 10:27:33 |   INFO   |      BASE_ASSERTIONS      | Check that "description" equals to Religious cause past.
25-11-05 10:27:33 |   INFO   |      BASE_ASSERTIONS      | Check that "category id" equals to 199
25-11-05 10:27:33 |   INFO   |      BASE_ASSERTIONS      | Check that "images" equals to ['http://kaufman-fernandez.info/categories/wp-content/blogmain.html', 'https://www.myers.info/mainmain.html', 'https://ross.com/wp-content/categorylogin.php', 'https://www.thomas.com/explore/tag/listhome.html']
25-11-05 10:27:33 |   INFO   |    SCHEMAS_ASSERTIONS     | Validating JSON schema
