25-11-04 18:05:02 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/categories
25-11-04 18:05:02 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/categories
25-11-04 18:05:02 |   INFO   |        HTTP_CLIENT        | Make GET request to https://api.escuelajs.co/api/v1/categories/60
25-11-04 18:05:02 |   INFO   |        HTTP_CLIENT        | Got response 200 OK from https://api.escuelajs.co/api/v1/categories/60
25-11-04 18:05:02 |   INFO   |      BASE_ASSERTIONS      | Check that response status code equals to 200
25-11-04 18:05:02 |   INFO   |   CATEGORYS_ASSERTIONS    | Check get category response
25-11-04 18:05:02 |   INFO   |   CATEGORYS_ASSERTIONS    | Check category
25-11-04 18:05:02 |   INFO   |      BASE_ASSERTIONS      | Check that "id" equals to 60
25-11-04 18:05:02 |   INFO   |      BASE_ASSERTIONS      | Check that "name" equals to Various process garden
25-11-04 18:05:02 |   INFO   |      BASE_ASSERTIONS      | Check that "slug" equals to various-process-garden
25-11-04 18:05:02 |   INFO   |      BASE_ASSERTIONS      | Check that "image" equals to https://www.johnson-chavez.com/main/categories/maincategory.html
25-11-04 18:05:02 |   INFO   |      BASE_ASSERTIONS      | Check that "creation_at" equals to 2025-11-04 18:05:02+00:00
25-11-04 18:05:02 |   INFO   |      BASE_ASSERTIONS      | Check that "updated_at" equals to 2025-11-04 18:05:02+00:00
25-11-04 18:05:02 |   INFO   |    SCHEMAS_ASSERTIONS     | Validating JSON schema
