"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","465","Login with correct credentials","tests.authentication","Fri Oct 31 21:07:20 MSK 2025","passed","Fri Oct 31 21:07:20 MSK 2025","TestAuthentication","test_authentication","",""
"","154","Update user with invalid data fails","tests.users","Fri Oct 31 21:07:45 MSK 2025","passed","Fri Oct 31 21:07:45 MSK 2025","TestUsers","test_users","",""
"","454","Retrieving an authenticated user’s profile","tests.authentication","Fri Oct 31 21:07:23 MSK 2025","passed","Fri Oct 31 21:07:23 MSK 2025","TestAuthentication","test_authentication","",""
"","334","Update user","tests.users","Fri Oct 31 21:07:43 MSK 2025","passed","Fri Oct 31 21:07:44 MSK 2025","TestUsers","test_users","",""
"","311","Update category","tests.categories","Fri Oct 31 21:07:21 MSK 2025","passed","Fri Oct 31 21:07:21 MSK 2025","TestCategories","test_categories","",""
"","455","Get user with an invalid ID fails","tests.users","Fri Oct 31 21:07:42 MSK 2025","passed","Fri Oct 31 21:07:43 MSK 2025","TestUsers","test_users","",""
"","709","Create product with invalid data fails","tests.products","Fri Oct 31 21:07:30 MSK 2025","passed","Fri Oct 31 21:07:30 MSK 2025","TestProducts","test_products","",""
"","153","Update product with invalid data fails","tests.products","Fri Oct 31 21:07:36 MSK 2025","passed","Fri Oct 31 21:07:37 MSK 2025","TestProducts","test_products","",""
"","855","Create category","tests.categories","Fri Oct 31 21:07:19 MSK 2025","passed","Fri Oct 31 21:07:19 MSK 2025","TestCategories","test_categories","",""
"","605","Create category with invalid data fails","tests.categories","Fri Oct 31 21:07:21 MSK 2025","passed","Fri Oct 31 21:07:21 MSK 2025","TestCategories","test_categories","",""
"","454","Get locations with radius","tests.locations","Fri Oct 31 21:07:26 MSK 2025","passed","Fri Oct 31 21:07:26 MSK 2025","TestLocations","test_locations","",""
"","616","Create user with invalid data fails","tests.users","Fri Oct 31 21:07:40 MSK 2025","passed","Fri Oct 31 21:07:40 MSK 2025","TestUsers","test_users","",""
"","656","Create product with invalid data fails","tests.products","Fri Oct 31 21:07:29 MSK 2025","passed","Fri Oct 31 21:07:30 MSK 2025","TestProducts","test_products","",""
"","154","Get product by slug","tests.products","Fri Oct 31 21:07:34 MSK 2025","failed","Fri Oct 31 21:07:34 MSK 2025","TestProducts","test_products","",""
"","564","Create category with invalid data fails","tests.categories","Fri Oct 31 21:07:20 MSK 2025","passed","Fri Oct 31 21:07:20 MSK 2025","TestCategories","test_categories","",""
"","600","Create user with invalid data fails","tests.users","Fri Oct 31 21:07:41 MSK 2025","passed","Fri Oct 31 21:07:41 MSK 2025","TestUsers","test_users","",""
"","563","Create user with invalid data fails","tests.users","Fri Oct 31 21:07:41 MSK 2025","passed","Fri Oct 31 21:07:42 MSK 2025","TestUsers","test_users","",""
"","344","Update product with invalid data fails","tests.products","Fri Oct 31 21:07:41 MSK 2025","failed","Fri Oct 31 21:07:42 MSK 2025","TestProducts","test_products","",""
